question,answer
"How do I book a product?","To book a product, go to the product page, click 'Add to Cart', and proceed to checkout to complete your payment."
"How can I track my order?","You can track your order using the 'Track Order' option in 'My Account' and entering your Order ID."
"Can I cancel my order?","You can cancel your order before shipment from 'My Orders'. Once shipped, cancellation isn't possible."
"How do I return a product?","Go to 'My Orders', select the product, and click 'Return' to start the process."
"What is your refund policy?","Refunds are processed within 5–7 business days once the returned product passes quality checks."
"Why was my payment declined?","If your payment failed, try again or use another method. Contact support if the amount was deducted."
"How can I contact support?","Reach support at support@example.com or call 1800-123-4567 (Mon–Fri, 9 AM–6 PM)."
"When will my order be delivered?","Orders are delivered within 3–5 business days depending on your location."
"How do I change my delivery address?","You can change your address before dispatch in 'Address Book' under 'My Account'."
"How can I update my profile?","Go to 'My Account' → 'Profile Settings' to update your personal information."
"How to reset my password?","Click 'Forgot Password' on the login page and follow the steps to reset it."
"I cannot log in.","Clear your browser cache or reset your password."
"Are there any offers or discounts?","Check the 'Deals' section for current offers and coupons."
"Will I get an order confirmation?","Yes, you’ll receive a confirmation email once payment succeeds."
"What if a product is out of stock?","Click 'Notify Me' on the product page to get an alert when it’s back."
"Are there shipping charges?","Shipping is free above ₹499. Below that, a nominal fee applies."
"Can I order multiple items?","Yes, you can order multiple products together if they are available."
"How to claim warranty?","Go to 'My Orders', select the item, and choose 'Warranty Claim'."
"What if payment was cancelled?","Your order may not have been placed. Please check 'My Orders'."
"Can I get an invoice?","Invoices are auto-generated and downloadable from 'My Orders'."
"Do you offer gift wrapping?","Yes, gift wrapping is available at checkout for a small fee."
"Do you ship internationally?","Currently, delivery is available only within India."
"Can I change my payment method?","Payment method cannot be changed once the order is placed."
"How do I replace a product?","Request replacement within 7 days of delivery under 'My Orders'."
"What are membership benefits?","Members enjoy early access to sales, exclusive discounts, and free shipping."
"How to download my invoice?","Open 'My Orders', select the order, and click 'Download Invoice'."
"How to apply a coupon?","Enter your coupon code at checkout to apply the discount."
"Why is my coupon invalid?","Coupons may expire or have restrictions. Check terms and conditions."
"What payment methods are accepted?","We accept credit/debit cards, net banking, UPI, and wallets."
"Can I schedule delivery?","Yes, you can choose a preferred delivery date during checkout if available."
